term,term_translation,lang_code
https://www.iana.org/assignments/media-types/application/EDIFACT,application/EDIFACT,en
https://www.iana.org/assignments/media-types/application/EDI-X12,application/EDI-X12,en
https://www.iana.org/assignments/media-types/application/efi,application/efi,en
https://www.iana.org/assignments/media-types/application/elm+json,application/elm+json,en
https://www.iana.org/assignments/media-types/application/elm+xml,application/elm+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.cap+xml,application/EmergencyCallData.cap+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.Comment+xml,application/EmergencyCallData.Comment+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.Control+xml,application/EmergencyCallData.Control+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.DeviceInfo+xml,application/EmergencyCallData.DeviceInfo+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.eCall.MSD,application/EmergencyCallData.eCall.MSD,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.LegacyESN+json,application/EmergencyCallData.LegacyESN+json,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.ProviderInfo+xml,application/EmergencyCallData.ProviderInfo+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.ServiceInfo+xml,application/EmergencyCallData.ServiceInfo+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.SubscriberInfo+xml,application/EmergencyCallData.SubscriberInfo+xml,en
https://www.iana.org/assignments/media-types/application/EmergencyCallData.VEDS+xml,application/EmergencyCallData.VEDS+xml,en
https://www.iana.org/assignments/media-types/application/emma+xml,application/emma+xml,en
https://www.iana.org/assignments/media-types/application/emotionml+xml,application/emotionml+xml,en
https://www.iana.org/assignments/media-types/application/encaprtp,application/encaprtp,en
https://www.iana.org/assignments/media-types/application/entity-statement+jwt,application/entity-statement+jwt,en
https://www.iana.org/assignments/media-types/application/epp+xml,application/epp+xml,en
https://www.iana.org/assignments/media-types/application/epub+zip,application/epub+zip,en
https://www.iana.org/assignments/media-types/application/eshop,application/eshop,en
https://www.iana.org/assignments/media-types/application/example,application/example,en
https://www.iana.org/assignments/media-types/application/exi,application/exi,en
https://www.iana.org/assignments/media-types/application/expect-ct-report+json,application/expect-ct-report+json,en
https://www.iana.org/assignments/media-types/application/express,application/express,en
https://www.iana.org/assignments/media-types/application/fastinfoset,application/fastinfoset,en
https://www.iana.org/assignments/media-types/application/fastsoap,application/fastsoap,en
https://www.iana.org/assignments/media-types/application/fdf,application/fdf,en
https://www.iana.org/assignments/media-types/application/fdt+xml,application/fdt+xml,en
https://www.iana.org/assignments/media-types/application/fhir+json,application/fhir+json,en
https://www.iana.org/assignments/media-types/application/fhir+xml,application/fhir+xml,en
https://www.iana.org/assignments/media-types/application/fits,application/fits,en
https://www.iana.org/assignments/media-types/application/flexfec,application/flexfec,en
https://www.iana.org/assignments/media-types/application/font-sfnt - DEPRECATED in favor of font/sfnt,application/font-sfnt,en
https://www.iana.org/assignments/media-types/application/font-tdpfr,application/font-tdpfr,en
https://www.iana.org/assignments/media-types/application/font-woff - DEPRECATED in favor of font/woff,application/font-woff,en
https://www.iana.org/assignments/media-types/application/framework-attributes+xml,application/framework-attributes+xml,en
https://www.iana.org/assignments/media-types/application/geo+json,application/geo+json,en
https://www.iana.org/assignments/media-types/application/geo+json-seq,application/geo+json-seq,en
https://www.iana.org/assignments/media-types/application/geofeed+csv,application/geofeed+csv,en
https://www.iana.org/assignments/media-types/application/geopackage+sqlite3,application/geopackage+sqlite3,en
https://www.iana.org/assignments/media-types/application/geopose+json,application/geopose+json,en
https://www.iana.org/assignments/media-types/application/geoxacml+json,application/geoxacml+json,en
https://www.iana.org/assignments/media-types/application/geoxacml+xml,application/geoxacml+xml,en
https://www.iana.org/assignments/media-types/application/gltf-buffer,application/gltf-buffer,en
https://www.iana.org/assignments/media-types/application/gml+xml,application/gml+xml,en
https://www.iana.org/assignments/media-types/application/gnap-binding-jws,application/gnap-binding-jws,en
https://www.iana.org/assignments/media-types/application/gnap-binding-jwsd,application/gnap-binding-jwsd,en
https://www.iana.org/assignments/media-types/application/gnap-binding-rotation-jws,application/gnap-binding-rotation-jws,en
https://www.iana.org/assignments/media-types/application/gnap-binding-rotation-jwsd,application/gnap-binding-rotation-jwsd,en
https://www.iana.org/assignments/media-types/application/grib,application/grib,en
https://www.iana.org/assignments/media-types/application/gzip,application/gzip,en
https://www.iana.org/assignments/media-types/application/H224,application/H224,en
https://www.iana.org/assignments/media-types/application/held+xml,application/held+xml,en
https://www.iana.org/assignments/media-types/application/hl7v2+xml,application/hl7v2+xml,en
https://www.iana.org/assignments/media-types/application/http,application/http,en
https://www.iana.org/assignments/media-types/application/hyperstudio,application/hyperstudio,en
https://www.iana.org/assignments/media-types/application/ibe-key-request+xml,application/ibe-key-request+xml,en
https://www.iana.org/assignments/media-types/application/ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,en
https://www.iana.org/assignments/media-types/application/ibe-pp-data,application/ibe-pp-data,en
https://www.iana.org/assignments/media-types/application/iges,application/iges,en
https://www.iana.org/assignments/media-types/application/im-iscomposing+xml,application/im-iscomposing+xml,en
https://www.iana.org/assignments/media-types/application/index,application/index,en
https://www.iana.org/assignments/media-types/application/index.cmd,application/index.cmd,en
https://www.iana.org/assignments/media-types/application/index.obj,application/index.obj,en
https://www.iana.org/assignments/media-types/application/index.response,application/index.response,en
https://www.iana.org/assignments/media-types/application/index.vnd,application/index.vnd,en
https://www.iana.org/assignments/media-types/application/inkml+xml,application/inkml+xml,en
https://www.iana.org/assignments/media-types/application/IOTP,application/IOTP,en
https://www.iana.org/assignments/media-types/application/ipfix,application/ipfix,en
https://www.iana.org/assignments/media-types/application/ipp,application/ipp,en
https://www.iana.org/assignments/media-types/application/ISUP,application/ISUP,en
https://www.iana.org/assignments/media-types/application/its+xml,application/its+xml,en
https://www.iana.org/assignments/media-types/application/java-archive,application/java-archive,en
https://www.iana.org/assignments/media-types/application/javascript (OBSOLETED in favor of text/javascript),application/javascript,en
https://www.iana.org/assignments/media-types/application/jf2feed+json,application/jf2feed+json,en
https://www.iana.org/assignments/media-types/application/jose,application/jose,en
https://www.iana.org/assignments/media-types/application/jose+json,application/jose+json,en
https://www.iana.org/assignments/media-types/application/jrd+json,application/jrd+json,en
https://www.iana.org/assignments/media-types/application/jscalendar+json,application/jscalendar+json,en
https://www.iana.org/assignments/media-types/application/jscontact+json,application/jscontact+json,en
https://www.iana.org/assignments/media-types/application/json,application/json,en
https://www.iana.org/assignments/media-types/application/json-patch+json,application/json-patch+json,en
https://www.iana.org/assignments/media-types/application/json-patch-query+json,application/json-patch-query+json,en
https://www.iana.org/assignments/media-types/application/json-seq,application/json-seq,en
https://www.iana.org/assignments/media-types/application/jsonpath,application/jsonpath,en
https://www.iana.org/assignments/media-types/application/jwk+json,application/jwk+json,en
https://www.iana.org/assignments/media-types/application/jwk-set+json,application/jwk-set+json,en
https://www.iana.org/assignments/media-types/application/jwk-set+jwt,application/jwk-set+jwt,en
https://www.iana.org/assignments/media-types/application/jwt,application/jwt,en
https://www.iana.org/assignments/media-types/application/kb+jwt,application/kb+jwt,en
https://www.iana.org/assignments/media-types/application/kbl+xml,application/kbl+xml,en
